inter_arrival,packet_length,sess_pkt_count,sess_byte_count
0.0,54,1,54
0.1055808067321777,54,1,54
0.5621380805969238,176,1,176
0.0001530647277832,1434,2,1610
1.9073486328125e-05,752,3,2362
0.1021327972412109,66,1,66
0.0026741027832031,66,2,132
5.0067901611328125e-06,66,3,198
0.0001819133758544,66,4,2428
0.0835590362548828,612,4,810
0.550666093826294,435,1,435
-0.0002920627593994,86,3,871
0.0006430149078369,350,2,785
0.0090129375457763,86,4,957
0.9330620765686036,54,1,54
0.106597900390625,66,1,66
0.9769861698150636,54,1,54
0.0001227855682373,54,1,54
-3.0994415283203125e-05,54,1,54
0.0080540180206298,66,1,66
0.0004169940948486,100,2,166
7.82012939453125e-05,66,3,232
-0.0007200241088867,163,1,163
0.0578739643096923,66,1,66
-5.0067901611328125e-06,66,1,66
0.0011708736419677,66,1,66
0.0288081169128417,78,2,241
7.867813110351562e-06,66,3,307
5.0067901611328125e-06,66,4,373
0.000148057937622,66,4,298
0.0297069549560546,66,2,132
9.918212890625e-05,66,2,120
0.0050148963928222,66,2,120
-0.0001120567321777,66,2,132
0.297785997390747,66,2,132
0.0001320838928222,66,2,120
0.0302059650421142,78,1,78
-0.0002319812774658,54,3,703
-0.0001468658447265,66,1,66
0.0501549243927001,571,2,649
0.0805659294128418,54,2,120
-8.106231689453125e-06,1426,5,4378
0.002079963684082,1406,3,1526
-1.9073486328125e-06,1426,4,2952
0.0001130104064941,54,4,757
8.296966552734375e-05,54,5,811
0.0021829605102539,420,6,4798
5.91278076171875e-05,54,6,865
0.0046629905700683,134,7,999
0.0007779598236083,1434,8,2433
1.6927719116210938e-05,443,9,2876
0.0844781398773193,54,7,4852
-9.5367431640625e-07,341,8,5193
-8.106231689453125e-06,341,9,5534
0.0001411437988281,1357,10,4233
7.081031799316406e-05,513,11,4746
0.0514030456542968,124,1,124
-7.867813110351562e-06,163,1,163
5.9604644775390625e-06,139,2,263
0.0001070499420166,66,1,66
4.982948303222656e-05,66,1,66
0.0002980232238769,100,2,166
5.1021575927734375e-05,66,3,232
4.0531158447265625e-06,100,2,166
2.8848648071289062e-05,66,3,232
0.0088601112365722,163,1,163
8.296966552734375e-05,66,1,66
0.0002670288085937,100,2,166
3.910064697265625e-05,66,3,232
0.0038797855377197,163,1,163
6.198883056640625e-06,163,1,163
7.081031799316406e-05,66,1,66
3.218650817871094e-05,66,1,66
0.0001709461212158,100,2,166
3.0994415283203125e-05,66,3,232
1.0013580322265623e-05,100,2,166
2.193450927734375e-05,66,3,232
0.0014700889587402,54,10,5588
0.0060780048370361,575,11,6163
5.9604644775390625e-06,87,12,6250
8.392333984375e-05,54,12,4800
0.0480210781097412,66,2,229
-5.9604644775390625e-06,66,3,329
7.152557373046875e-06,66,3,307
9.5367431640625e-07,66,4,395
0.0043509006500244,78,2,241
-2.1457672119140625e-06,66,4,373
3.0994415283203125e-06,78,2,241
9.5367431640625e-07,78,2,241
9.5367431640625e-07,66,3,307
0.000148057937622,66,4,298
5.91278076171875e-05,66,4,298
0.0046238899230957,66,4,373
5.0067901611328125e-06,66,3,295
9.5367431640625e-07,66,3,307
9.5367431640625e-07,66,4,373
0.0001230239868164,66,4,298
5.507469177246094e-05,66,4,298
2.694129943847656e-05,66,4,298
0.3091471195220947,74,1,74
0.0001568794250488,86,2,160
0.0989599227905273,85,1,85
5.1975250244140625e-05,54,2,108
1.0013580322265623e-05,54,2,139
0.0001230239868164,54,1,54
0.0001590251922607,54,3,162
0.0203039646148681,54,3,193
9.775161743164062e-06,74,4,339
3.0994415283203125e-06,105,5,444
0.5944352149963379,105,3,265
1.9073486328125e-06,74,6,518
4.0531158447265625e-06,74,7,592
3.0994415283203125e-06,74,8,666
0.0002880096435546,74,9,740
0.0001230239868164,74,10,814
3.886222839355469e-05,74,11,888
3.695487976074219e-05,74,12,962
2.5033950805664062e-05,74,13,1036
2.2172927856445312e-05,74,14,1110
0.0045089721679687,74,16,1258
0.0287168025970459,74,15,1184
0.6079010963439941,54,1,54
0.0504400730133056,66,1,66
1.0300688743591309,161,1,161
0.0002470016479492,1434,2,1595
2.09808349609375e-05,1162,3,2757
-2.5987625122070312e-05,1434,4,4191
6.699562072753906e-05,131,5,4322
0.0928130149841308,66,1,66
0.0100910663604736,66,2,132
0.0003330707550048,66,3,198
-0.0003318786621093,66,5,330
-7.152557373046875e-06,66,4,264
0.0,78,1,78
0.0102438926696777,54,1,54
0.0057320594787597,74,1,74
7.796287536621094e-05,66,2,144
0.0001111030578613,82,3,226
1.9788742065429688e-05,118,4,344
0.0001020431518554,1434,5,1778
4.0531158447265625e-06,488,6,2266
-4.1961669921875e-05,66,1,66
-8.821487426757812e-06,66,3,206
0.0546708106994628,66,2,140
0.0124130249023437,66,4,272
-1.1205673217773438e-05,66,5,338
0.1257641315460205,1391,6,1729
-9.5367431640625e-07,1434,7,3163
-2.1457672119140625e-06,1434,8,4597
-8.821487426757812e-06,1434,9,6031
0.000154972076416,66,7,2332
0.0002088546752929,66,8,2398
0.0015780925750732,174,9,2572
0.0578460693359375,66,10,6097
0.1215999126434326,66,2,132
0.0001211166381835,66,2,120
0.7695469856262207,54,1,54
0.0391240119934082,66,1,66
0.0003070831298828,66,2,120
-8.821487426757812e-05,66,2,132
0.0,66,1,66
0.000101089477539,66,1,66
5.9604644775390625e-06,66,1,66
0.0043070316314697,66,2,132
0.3840210437774658,259,3,391
8.487701416015625e-05,66,1,66
3.24576997756958,54,1,54
0.083961009979248,66,1,66
